Value_male,Value_fem
39.121,36.65
37.623,37.149
37.623,37.149
36.625,37.647
37.623,39.142
36.126,37.647
36.126,36.152
33.63,36.152
29.134,35.653
24.635,35.154
23.134,32.16
21.634,35.154
22.134,36.65
23.635,35.653
27.634,35.154
37.124,35.653
36.625,35.653
36.126,35.154
38.622,37.647
38.123,39.142
37.623,37.647
37.623,38.146
37.623,38.644
36.126,36.65
37.124,38.146
38.123,38.146
37.623,38.644
38.123,36.65
36.625,37.647
37.124,34.157
35.627,29.164
33.13,25.666
29.134,23.165
25.635,21.164
23.134,20.162
21.134,20.162
20.133,20.162
19.132,20.663
19.132,21.664
24.135,23.165
36.126,32.66
36.625,36.65
37.124,38.146
37.623,38.644
38.622,38.644
37.124,37.647
37.124,37.647
37.124,37.647
36.625,37.149
37.124,37.149
37.623,37.149
36.625,39.641
36.625,37.149
39.121,37.149
38.123,38.146
35.627,36.152
37.124,36.65
36.625,37.149
35.627,37.149
36.126,35.653
36.126,35.653
36.625,35.653
35.627,36.152
36.126,35.154
36.126,35.653
35.627,38.146
38.622,38.644
37.623,37.647
38.123,38.644
38.622,38.644
36.625,38.644
39.121,38.146
37.124,37.149
37.124,39.142
36.625,39.142
37.623,37.647
37.124,37.647
36.625,37.149
34.628,36.65
31.632,33.658
28.134,27.665
28.134,23.666
31.132,21.664
37.124,20.162
37.124,19.662
37.124,19.662
36.625,19.662
37.124,28.165
37.124,36.152
37.124,36.65
38.123,36.65
38.622,38.146
38.123,39.142
37.124,39.142
37.124,37.647
37.124,36.152
36.625,35.653
36.625,36.152
37.623,36.65
36.126,35.653
36.625,35.653
33.63,33.658
31.132,31.661
28.634,29.164
27.135,26.666
25.135,24.666
23.134,23.165
22.134,21.664
21.134,20.663
20.633,19.662
19.632,19.662
19.132,19.161
20.633,20.162
34.129,32.66
36.625,36.65
37.623,37.647
39.121,37.149
39.121,35.653
38.622,31.162
38.123,24.666
36.625,20.663
36.625,18.159
36.126,16.656
35.627,15.654
32.631,14.651
28.134,14.15
24.635,13.147
22.134,12.645
19.632,12.143
18.131,11.642
16.629,11.14
15.127,11.14
14.126,10.638
13.625,10.638
13.124,10.638
14.126,11.14
17.13,11.642
33.13,15.654
37.623,33.159
39.121,37.647
38.622,37.647
36.625,38.644
37.124,34.157
36.625,30.663
32.631,28.665
29.134,24.666
24.135,21.664
21.134,19.662
18.632,17.658
16.629,16.155
15.127,14.651
13.625,13.648
12.623,12.645
11.621,11.642
10.619,10.638
10.118,10.136
9.617,9.634
9.116,9.132
9.116,9.132
9.116,9.132
10.619,9.634
14.626,10.136
29.134,13.147
37.623,15.654
37.124,18.66
36.126,20.162
36.126,20.162
37.124,20.162
33.13,19.662
27.634,19.662
20.633,18.66
18.131,16.155
16.129,14.651
14.626,13.147
13.625,12.143
12.623,11.642
11.621,11.14
11.12,10.638
10.619,10.136
10.118,9.634
10.118,9.634
9.617,9.634
9.617,9.634
9.617,9.634
10.118,10.136
13.625,11.642
27.135,19.662
37.124,37.647
37.623,37.149
37.124,39.641
37.623,38.146
37.623,38.644
37.623,38.644
38.123,38.146
38.123,38.146
37.124,37.647
38.123,39.142
37.623,38.146
37.124,38.644
38.123,37.647
38.123,37.647
36.625,36.152
37.124,37.149
36.625,37.149
36.625,36.65
36.126,37.647
36.625,36.152
36.625,37.149
37.124,36.65
37.623,36.65
37.623,38.146
37.623,37.647
37.623,36.65
37.124,37.149
36.625,39.641
37.124,39.142
36.625,37.149
36.625,37.647
37.623,38.146
36.126,37.149
35.627,39.641
28.634,39.142
26.635,37.149
25.635,35.653
24.635,35.154
24.135,35.653
22.134,29.664
20.633,24.666
19.132,21.164
17.63,18.66
16.629,18.159
16.129,25.166
16.629,37.647
30.133,37.647
38.123,38.146
39.121,38.146
38.123,37.149
37.124,37.149
38.123,37.149
37.623,37.149
36.625,37.647
36.126,36.65
37.623,37.647
35.128,36.65
29.134,34.655
24.135,27.166
20.633,21.164
17.63,17.658
15.628,15.152
14.126,13.648
13.124,13.648
13.625,13.648
14.626,14.651
15.628,15.654
16.629,17.157
17.63,17.658
21.634,19.161
36.126,34.157
38.123,39.641
39.121,39.142
36.625,38.146
36.126,38.644
36.126,37.149
35.627,36.65
36.126,36.65
36.126,36.65
35.128,35.653
32.131,37.149
26.635,36.152
23.635,30.663
20.633,23.666
18.632,19.662
16.629,17.658
15.628,15.654
14.626,15.152
14.626,14.651
14.626,15.152
15.628,15.654
16.629,16.656
17.63,17.658
19.132,18.66
35.627,29.664
37.623,38.644
37.623,37.149
37.124,38.146
36.625,36.65
37.623,38.644
37.124,38.146
35.627,36.65
35.627,36.65
37.124,39.142
36.625,36.152
36.126,32.66
36.126,26.666
38.123,23.165
38.123,19.161
35.128,17.157
30.133,15.654
25.635,15.152
22.134,15.654
19.632,16.155
18.131,17.157
17.63,17.658
17.13,18.66
17.13,20.663
29.134,35.154
38.622,39.142
38.622,38.644
38.123,37.647
38.123,37.647
37.623,37.647
38.622,37.647
37.623,39.641
37.623,38.146
37.623,39.142
38.622,38.644
37.124,38.644
36.126,38.644
37.124,37.149
38.622,36.152
37.124,35.653
36.625,36.152
36.625,36.65
37.124,37.149
36.625,37.647
36.126,36.65
35.627,37.149
37.124,36.65
37.124,36.65
38.123,38.146
37.623,38.146
37.623,37.647
36.625,37.647
38.123,36.65
34.628,39.142
30.133,36.65
26.635,36.152
24.635,33.658
21.634,26.666
19.632,22.165
17.13,19.161
15.628,16.656
